,Компания,Общая тема,Подтема,Заголовок,Новость
2318,"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""",Деловая тематика,Социальная ответственность,Волонтеры Михайловского ГОКа вновь стали донорами крови,"…Если донор не соблюдал диету, за сутки не исключил жирную и жареную пищу, орешки, молочные продукты, яйца"", – прокомментировала заведующая подстанцией переливания крови Элла Рогожина. К доброму делу присоединился и директор по социальным вопросам Михайловского ГОКа, депутат областной думы Борис Сорокин. Он не сдает кровь регулярно, но всегда старается участвовать в донорских акциях комбината. …"
2319,"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""",Деловая тематика,Транспортировка газа,"Две организации региона награждены дипломами всероссийского конкурса ""Российская организация высокой социальной эффективности – 2023""","…ООО Сухонский КБК активный участник всех спортивно-массовых мероприятий города Сокола и Сокольского муниципального округа. Шекснинское линейное производственное управление магистральных газопроводов филиал ООО Газпром трансгаз Ухта в своей номинации оценивалось за реализацию программ, способствующих формированию человеческих ресурсов организации, развитию корпоративной культуры, мероприятий по закреплению в организации молодых специалистов. Напомним, что конкурс Российская организация высокой социальной эффективности проводится ежегодно с 2000 года по 17 номинациям с целью привлечения общественного внимания к важности решения социальных вопросов на уровне организаций, выявление лучших социальных проектов, создание позитивного социального имиджа. …"
2320,"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""",Деловая тематика,Транспортировка газа,Порядок к Дню Победы,"…Ветеранский десант чистоты и ребята из объединения ""Движение первых"" потрудились на кладбище, наводя порядок на захоронениях наших знаменитых фронтовиков – Антонины Бречаловой, Георгия Осипова, Льва Шашлова и других, а заодно и знаменитого доктора Петра Троицкого, заведующего нашей больницей. Эти памятники уважаемым землякам поставлены с помощью коллектива Даниловской площадки Переславского линейного производственное управление магистральных газопроводов ООО ""Газпром трансгаз Ухта"". За их состоянием смотрят не только ветераны и молодежь, но и настоятель храма Вознесения о. Михаил Гончарук и сами газовики.…"
2321,"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""",Деловая тематика,Транспортировка газа,День охраны труда…,"…Проекты оценивало жюри под председательством Олега Климанова, начальника Воркутинского линейного производственного управления магистральных газопроводов. В состав жюри также входили представители управления образования администрации города, первичной профсоюзной организации ""Газпром трансгаз Ухта"", Воркутинского филиала УГТУ, АО ""ВоркутаУголь"". Команды глубоко проработали предложенные темы и с юмором рассказали о важных для безопасности жизни работника Газпрома моментах. …"
2322,"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""",Деловая тематика,Транспортировка газа,"Две организации региона награждены дипломами Всероссийского конкурса ""Российская организация высокой социальной эффективности-2023""","…Это ООО ""Сухонский картонно-бумажный комбинат"" и Шекснинское линейное производственное управление магистральных газопроводов - филиал ООО ""Газпром трансгаз Ухта"". ""ООО ""Сухонский КБК"" имеет собственный взгляд на корпоративный спорт, основной идеей которого является стимулирование работников к занятиям физической культурой и спортом и формирование в коллективе корпоративного духа через совместное времяпрепровождение, - рассказал заместитель губернатора области Александр Ершов. - С целью реализации этой идеи на территории предприятия был открыт оздоровительный комплекс сменного и междусменного отдыха"". …"
2323,"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""",Деловая тематика,Реализация газа,Мебель для Газпрома изготовили в глубинке Тверской области,"…Новой мебелью, произведенной в Тверской области, оснастили сразу несколько структурных подразделений Газпрома в разных регионах страны. Среди них ООО ""Газпром добыча Ноябрьск"", ООО ""Газпром добыча Надым"", ООО ""Газпром газификация"", ООО ""Газпром недра"" и другие. Коллекции мебели разработаны и изготовлены на фабрике компании ""Феликс"" в Торопце и ДОК ""Жарковский"". …"
2324,"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""",Деловая тематика,Транспортировка газа,На страже рабочих будней,"…Лучший уголок по охране труда принадлежит МКУ ""Дирекция по организационно-хозяйственному и методическому сопровождению"", второе место досталось детскому саду ""Умка"" города Надыма, замыкает тройку МКУ ""Управление по содержанию муниципального имущества"". В номинации ""Лучшая работа по информированию работников по вопросам профилактики ВИЧ-инфекции"" победу одержало Пангодинское линейное производственное управление магистральных газопроводов ООО ""Газпром трансгаз Югорск"", второе место досталось обществу ""Газпром добыча Надым"", третье – надымскому музею истории и археологии. Фото Дмитрия Эрнста …"
2325,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""","Суды, конфликты, расследования",Судебный процесс,"В Коптевском районном суде г. Москвы завершено рассмотрение гражданского дела по иску Пискарева Сергея Сергеевича к ООО ""БМВ Русланд Трейдинг"" о защите прав потребителя, замене товара ненадлежащего качества.","…В рамках гражданского дела проведены судебные экспертизы, которые указали на наличие производственных недостатков транспортного средства. Решением суда от 02 июня 2023 года исковые требования Пискарева С.С. удовлетворены в полном объеме: ""БМВ Русланд Трейдинг"" обязано произвести замену приобретенного истцом по договору от 28 сентября 2020 года автомобиля марки BMW X7 на новый, 2023 года выпуска, а также выплатить истцу неустойку за просрочку возврата денежных средств, неустойку за просрочку исполнения требования потребителя о замене транспортного средства, штраф, компенсацию морального вреда. Решение в законную силу не вступило. …"
2326,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,"BMW отзывает в РФ 37,3 тыс. машин из-за возможных проблем старения подушек безопасности","…На всех отзываемых автомобилях бесплатно заменят водительскую и пассажирскую подушки безопасности.Представители ООО ""БМВ Русланд Трейдинг"" письмом или по телефону проинформируют владельцев машин, подпадающих под отзыв. Владельцы могут самостоятельно определить, отзывается ли их машина, на сайте Росстандарта или с помощью сервиса Auto.ru.…"
2327,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет более 37 тысяч машин в России из-за возможных проблем,"…Уточняется, что на всех автомобилях, подпадающих под отзыв, будет выполнена замена надувной подушки безопасности водителя и надувной подушки безопасности со стороны переднего пассажира. Уполномоченные представители компании ""БМВ Русланд Трейдинг"" проинформируют владельцев автомобилей, подпадающих под отзыв, путем рассылки писем или по телефону о необходимости предоставить транспортное средство в ближайший дилерский центр для проведения ремонтных работ, все работы будут бесплатными для владельцев машин, заключили в ведомстве. …"
2328,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,В России отзывают более 37 тыс. автомобилей BMW,"…МОСКВА, 23 июня. /ТАСС/. ООО ""БМВ Русланд Трейдинг"" - официальный представитель изготовителя BMW на российском рынке - отзывает 37,276 тыс. автомобилей BMW X5 (серия E70), X6 ( серия E72), X6 (серия E71), реализованных с ноября 2006 года по июнь 2014 года, сообщается на сайте Росстандарта.Транспортные средства отзываются по причине того, что в автомобилях в результате многолетнего старения может произойти сбой газогенератора надувной подушки безопасности водителя и надувной подушки безопасности со стороны переднего пассажира, говорится в сообщении.…"
2329,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет свыше 37 000 автомобилей в России для замены подушек безопасности,"…Все работы будут осуществляться бесплатно для владельцев. В конце апреля ""БМВ Русланд трейдинг"" отзывал 4736 машин тоже для замены подушек безопасности водителя. Тогда под отзывную кампанию попали автомобили, собранные с января 2015-го по январь 2016 г. В общей сложности замена подушки безопасности должна быть проведена на автомобилях BMW 1 (серия F20), 2 Active Tourer (серия F45), 2 Coupe (серия F22), 3 Sedan (серия F80), 3 Touring (серия F31), 3 (серии F30 и F34), 4 Cabrio (серия F33), 4 Coupe (серии F32, F36 и F83), 5 Touring (серия F11), 5 (серии F07 и F10), 6 (серии F06, F12 и F13), M2 Coupe (серия F87), M4 Coupe (серия F82), X1 (серия F48), X5 M (серия F85), X5 (серия F15), X6 M (серия F86), X6 (серия F16). …"
2330,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет десятки тысяч авто в России,"… Российское представительство автоконцерна BMW ( ООО ""БМВ Русланд Трейдинг"") второй раз в 2023 году отзывает многотысячную партию автомобилей по причине возможных проблем, связанных со старением механизма подушек безопасности. Об этом сообщает Росстандарт.…"
2331,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет свыше 37 тысяч машин в России из-за возможных проблем,"…BMW отзовет 37276 машин в РФ из-за возможных проблем с подушками безопасности Официальный представитель BMW на российском рынке - ""БМВ Русланд Трейдинг"" - отзывает свыше 37 тысяч автомобилей в России из-за возможных проблем с подушками безопасностию Об этом информирует Росстандарт. Отзыву подлежат 37276 автомобилей BMW: X5 (серия E70), X6 ( серия E72), X6 (серия E71). …"
2332,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет свыше 37 тысяч автомобилей в России для замены подушек безопасности,"… Официальный представитель BMW на российском рынке ""БМВ Русланд трейдинг"" отзовет 37 276 автомобилей BMW X5 (серия E70), X6 ( серия E72), X6 (серия E71), изготовленных с ноября 2006 года по июнь 2014-го. Об этом говорится в сообщении Росстандарта. …"
2333,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет более 37 тысяч машин в России из-за возможных проблем,"… Представитель BMW на российском рынке ""БМВ Русланд Трейдинг"" отзывает более 37 тыс. автомобилей из-за возможных проблем с подушками безопасности.Об этом сообщили в Росстандарте.…"
2334,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,"Росстандарт отзывает почти 80 тысяч автомобилей Lada из-за отсутствия блока ""ЭРА-ГЛОНАСС""","…Владельцы автомобилей могут самостоятельно проверить свои транспортные средства, не дожидаясь оповещения дилера, через специальную программу для поиска или сверив свой VIN-номер с перечнем в документе.Ранее стало известно, что представитель BMW на российском рынке ""БМВ Русланд Трейдинг"" отзывает более 37 тыс. автомобилей из-за возможных проблем с подушками безопасности. …"
2335,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет более 37 тысяч автомобилей в России из-за проблем с подушками безопасности,"…Global Look Press | Horst Galuschka /dpaПредставительство BMW на российском рынке ""БМВ Русланд Трейдинг"" отзовет более 37 тысяч автомобилей из-за возможных проблем с подушками безопасности, информирует Росстандарт.Уточняется, что замене подлежат 37 276 машин моделей BMW X5 (серия E70), X6 ( серия E72) и X6 (серия E71), которые были произведены с ноября 2006 года по июнь 2014. …"
2336,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,"BMW отзовет в России 37,3 тысячи автомобилей","…Владельцы отзываемых автомобилей получат бесплатную замену водительской и пассажирской подушек безопасности. ООО ""БМВ Русланд Трейдинг"" проинформирует владельцев машин, подпадающих под отзыв, письмом или по телефону. Владельцы могут также проверить, отзывается ли их машина, на сайте Росстандарта или с помощью сервиса auto.ru. …"
2337,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет более 37 тысяч машин в России из-за возможных проблем,"…Автостат Представители ООО ""БМВ Русланд Трейдинг"" проинформируют владельцев автомобилей, подпадающих под отзыв, путем рассылки писем и/или по телефону о необходимости предоставить машину в ближайший дилерский центр для проведения ремонтных работ.AutoNews…"
2338,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет более 37 тыс. машин в России из-за риска проблем с подушками безопасности,"…pxhere.comРоссийское представительство BMW ( ООО ""БМВ Русланд Трейдинг"") отзывает 37 276 автомобилей из-за возможных проблем с механизмом подушек безопасности. Об этом передает Росстандарт.…"
2339,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,В России отзывают 37 тыс. автомобилей BMW,"…На всех транспортных средствах будет выполнена замена надувной подушки безопасности водителя и надувной подушки безопасности со стороны переднего пассажира. ООО ""БМВ Русланд Трейдинг"" является официальным представителем изготовителя BMW на российском рынке. …"
2340,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,Крупная партия автомобилей BMW отзывается из России,"…На всех отзываемых автомобилях будут бесплатно заменены подушки безопасности для водителя и пассажиров.Представители ООО ""БМВ Русланд Трейдинг"" уведомят владельцев автомобилей по телефону или письмом. Владельцы автомобилей могут проверить, попадает ли их автомобиль под отзыв на сайтах Росстандарта или Auto.ru.…"
2341,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзовет более 37 тыс. автомобилей в России для замены подушек безопасности,"…С начала года BMW уже второй раз отзывает автомобили в России. В конце апреля ""БМВ Русланд трейдинг"" отозвал 4763 машины для замены подушек безопасности водителя. …"
2342,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,BMW отзывает в России более 37 тыс. автомобилей,"… Официальный представитель изготовителя BMW на российском рынке - ООО ""БМВ Русланд Трейдинг"" отзывает 37,276 тыс. автомобилей BMW X5 (серия E70), X6 ( серия E72), X6 (серия E71), которые были реализованы с ноября 2006 года по июнь 2014 года. Транспортные средства отзываются, так как в автомобилях в результате многолетнего старения может произойти сбой газогенератора надувной подушки безопасности водителя и надувной подушки безопасности со стороны переднего пассажира. …"
2343,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Корпоративные проблемы,Отзыв продукции,В России отзывают автомобили BMW,"…Подушка безопасности водителя будет заменена на всех автомобилях. Уполномоченные представители производителей ООО ""БМВ РУСЛАНД ТРЕЙДИНГ"" проинформируют владельцев отозванных автомобилей письмом и/или по телефону о необходимости доставить автомобиль к ближайшему дилеру для проведения ремонтных работ. Все работы будут проводиться бесплатно для собственников. …"
2344,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Деловая тематика,Истец,"В Коптевском районном суде г. Москвы завершено рассмотрение гражданского дела по иску Пискарева Сергея Сергеевича к ООО ""БМВ Русланд Трейдинг"" о защите прав потребителя, замене товара ненадлежащего качества.","…В рамках гражданского дела проведены судебные экспертизы, которые указали на наличие производственных недостатков транспортного средства. Решением суда от 02 июня 2023 года исковые требования Пискарева С.С. удовлетворены в полном объеме: ""БМВ Русланд Трейдинг"" обязано произвести замену приобретенного истцом по договору от 28 сентября 2020 года автомобиля марки BMW X7 на новый, 2023 года выпуска, а также выплатить истцу неустойку за просрочку возврата денежных средств, неустойку за просрочку исполнения требования потребителя о замене транспортного средства, штраф, компенсацию морального вреда. Решение в законную силу не вступило. …"
2345,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Деловая тематика,Ответчик,"В Коптевском районном суде г. Москвы завершено рассмотрение гражданского дела по иску Пискарева Сергея Сергеевича к ООО ""БМВ Русланд Трейдинг"" о защите прав потребителя, замене товара ненадлежащего качества.","…В рамках гражданского дела проведены судебные экспертизы, которые указали на наличие производственных недостатков транспортного средства. Решением суда от 02 июня 2023 года исковые требования Пискарева С.С. удовлетворены в полном объеме: ""БМВ Русланд Трейдинг"" обязано произвести замену приобретенного истцом по договору от 28 сентября 2020 года автомобиля марки BMW X7 на новый, 2023 года выпуска, а также выплатить истцу неустойку за просрочку возврата денежных средств, неустойку за просрочку исполнения требования потребителя о замене транспортного средства, штраф, компенсацию морального вреда. Решение в законную силу не вступило. …"
2346,"ООО ""БМВ РУСЛАНД ТРЕЙДИНГ""",Деловая тематика,Ответчик,Владелица BMW потребовала с автодилера два миллиона рублей за несвоевременную замену запотевшей фары,"…ООО ""БМВ Русланд Трейдинг"" пострадало от обстоятельств, послуживших основанием для введения моратория и подлежит освобождению от взыскания неустойки. Сыктывдинский районный суд решил взыскать с ООО ""БМВ Русланд Трейдинг"" в пользу собственника машины 10 тысяч рублей компенсации морального вреда, 5000 рублей штрафа, а также средства за юридические услуги, расходы на проживание в гостинице судебного представителя и топливо на общую сумму 86,5 тыс. рублей, из них 50 тыс. рублей – юридические услуги. Алексей Смирнов …"
2347,"ПАО НК ""РУССНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ упал к 3440п по индексу МосБиржи на бумагах ""Газпрома"" и ""Мечела""","…Однако ""добровольцы"" ОПЕК + собираются и принимают решения без привязки к датам полноформатных встреч.Во ""втором эшелоне"" на Мосбирже подешевели после отсечки дивидендов за 2023 год акции ""Группы ЛСР"" (MOEX: LSRG) (-15%, до 969 рублей; выплаты 100 рублей на акцию), также просели бумаги ""Глобалтрак менеджмент"" (MOEX: GTRK) (-15,4%), ""префы"" ""ОМЗ"" (MOEX: OMZZ) (-9,3%), бумаги ПАО ""РН-Западная Сибирь"" (MOEX: CHGZ) (-4,7%), ""ТГК-1"" (MOEX: TGKA) (-4%), расписки HeadHunter (MOEX: HHRU) (-4%), акции ""Русснефти"" (MOEX: RNFT) (-3,8%), ""ТГК-2"" (MOEX: TGKB) (-3,8%).ПАО ""ТГК-2"" в 2023 году получило чистый убыток по МСФО в размере 15 млрд 422,6 млн рублей против 836 млн рублей чистой прибыли годом ранее, говорится в отчете компании. …"
2348,"ПАО НК ""РУССНЕФТЬ""",Другие происшествия,Падение курса акций,Рынок акций РФ к вечеру откатился к 3440п по индексу МосБиржи на упавших бумагах Газпрома после финотчета,"…Однако ""добровольцы"" ОПЕК + собираются и принимают решения без привязки к датам полноформатных встреч.Во ""втором эшелоне"" на Мосбирже подешевели после отсечки дивидендов за 2023 год акции ""Группы ЛСР"" (MOEX: LSRG) (-14,1%, до 979 рублей; выплаты 100 рублей на акцию), также просели бумаги ""Глобалтрак менеджмент"" (MOEX: GTRK) (-14,6%), ""префы"" ""ОМЗ"" (MOEX: OMZZ) (-6,7%), бумаги ПАО ""РН-Западная Сибирь"" (MOEX: CHGZ) (-4,8%), ""ТГК-1"" (MOEX: TGKA) (-4%), ""Русснефти"" (MOEX: RNFT) (-3,8%), ""ТГК-2"" (MOEX: TGKB) (-3,2%).ПАО ""ТГК-2"" в 2023 году получило чистый убыток по МСФО в размере 15 млрд 422,6 млн рублей против 836 млн рублей чистой прибыли годом ранее, говорится в отчете компании. …"
2349,"ПАО НК ""РУССНЕФТЬ""",Другие происшествия,Падение курса акций,Биржевая хроника: Всплески и провалы недели,"…Мечел (префы) (-9,31%): Успехи Мечела оказались временно приостановлены, и его преференциальные акции оказались в тройке лидеров по снижению цен. Русснефть (-8,88%): Несмотря на общую стабильность рынка нефти, акции Русснефти потеряли в цене, вызвав опасения среди инвесторов относительно перспектив компании. О’ Кей (-6,68%): Закрывая пятерку неудачников, акции О’ Кей показали относительно небольшое, но все же значительное снижение, что может быть вызвано различными факторами, включая внутренние проблемы или внешние рыночные условия. …"
2350,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Добыча газа,"Созданная Михаилом Гуцериевым ""Русснефть"" активно развивает логистику","…Динамичное развитие созданной Михаилом Гуцериевым компании приносит хорошие плоды регионам присутствия. Так, рост налоговых отчислений от ""Русснефти"" в бюджет Саратовской области в 2023 году превзошел показатели предыдущего года в 1,6 раза – составив, в абсолютных цифрах, 701 млн рублей.п …"
2351,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Добыча газа,Саратовская область увеличила добычу газа,"…Сегодня в Саратовской области за квартал газовики добывают более 370 млн куб.м. Осталась прежней тройка лидеров по добыче газа – ООО ""Диалл Альянс"", ООО ""ННК-Саратовнефтегаздобыча"", ПАО НК ""РуссНефть"". Они в сумме обеспечивают свыше 94% добытого объема.…"
2352,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Модернизация и развитие,РуссНефть модернизировала инфраструктуру Нижневартовского блока,"…Акционеры на 31 января 2024 года: ОАО ИК ""Надежность"" (4.95% УК), ЗАО ""Млада"" (7.7% УК), ПАО ""ЭсЭфАй"" (8.38%), Rambero Holding AG (23.46%), Bradinar Holdings Limited (12.05%), Банк ""Траст"" (16.52%), а также прочие – 26.94% УК. Чистая прибыль РуссНефти по РСБУ за первое полугодие 2023 года увеличилась почти вдвое, составив 12.92 млрд руб. против 6.5 млрд руб. годом ранее. Выручка составила 92.1 млрд руб., валовая прибыль – 17.1 млрд руб., прибыль до налогообложения – 16.57 млрд руб. …"
2353,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Модернизация и развитие,Нефтегазовая хроника военной спецоперации РФ на Украине: 2 мая 2024 г.,…В обход Самотлора. РуссНефть завершила модернизацию инфраструктуры Нижневартовского блока. Турция рассчитывает на 50%-ное участие в строительстве второй АЭС. …
2354,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Модернизация и развитие,В обход Самотлора. РуссНефть завершила модернизацию инфраструктуры Нижневартовского блока,"…От ДНС-3 Рославльского месторождения нефть поступает на ЦПС Системы измерения количества и показателей качества нефти (СИКН) №590. Существующий ПСП Западный Могутлор СИКН №590 расположен на территории ЦПС Западно-Могутлорского месторождения РуссНефти и обеспечивает автоматизированное ведение учетных (товарно-коммерческих) операций с нефтью, поступающей с месторождений компании. Перекачка нефти, подлежащей к сдаче, осуществляется в МНП Повх - Покачи - Урьевская Сургутского УМН Транснефть-Сибирь. …"
2355,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Модернизация и развитие,"""РуссНефть"" завершила модернизацию транспортировачнного блока","…Однако его замена требует значительных инвестиций. Решение было в перенаправлении нефти через промыслы бывшего предприятия ""Аганнефтегазгеология"", включенного в структуру Нижневартовского филиала ""РуссНефть"". Эти промыслы обладают современными системами транспортировки и подготовки нефти.…"
2356,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Модернизация и развитие,"""РуссНефть"" завершила модернизацию инфраструктуры Нижневартовского блока","… ПАО НК ""РуссНефть"" завершило модернизацию инфраструктуры, обслуживающей производственные объекты Нижневартовского блока Компании. Первая партия товарной нефти успешно отправлена в систему ""Транснефти"" через новый узел учета по обновленному внутрипромысловому нефтепроводу. …"
2357,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Модернизация и развитие,"""РуссНефть"" модернизировала Нижневартовский блок для транспортировки нефти","…Реконструирован товарный парк.Система трубопроводного транспорта в Нижневартовском блоке – одна из крупнейших в филиалах ""РуссНефти"", составляет более 1750 км. …"
2358,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Модернизация и развитие,"""РуссНефть"" модернизировала инфраструктуру Нижневартовского блока","…Цель программы по диверсификации объектов транспортировки углеводородного сырья и обновлению трубопроводной артерии товарной нефти – снижение экологических рисков в Нижневартовском регионе. В рамках модернизации ""РуссНефть"" построила напорный нефтепровод и объекты действующей линейной части, нефтеперекачивающую станцию и центральный пункт сдачи нефти. Также завершена реконструкция товарных парков на площадных объектах добывающего предприятия. …"
2359,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Рост курса акций,"Рынок акций РФ начал неделю с умеренного снижения по индексу МосБиржи на укреплении рубля, вырос ""Полюс""","…Во ""втором эшелоне"" на Мосбирже снизились после отсечки дивидендов акции банка ""Санкт-Петербург"" (-7,2%, до 313,57 рубля; выплаты - 23,37 рубля на акцию), также просели расписки Qiwi (-7,3%), бумаги банка ""Приморье"" (-7%), ""Глобалтрак менеджмент"" (-5,3%), расписки HeadHunter (-3,2%), ЦИАН (-3,1%), ""префы"" ""ОМЗ"" (-3%), акции ПАО ""Новороссийский комбинат хлебопродуктов"" (-2,8%), ""АГ Кристалл"" (-2,8%).Выросли акции ПАО ""Левенгук"" (+11,9%), ПАО ""ЮТэйр"" (+8,1%), ПАО ""Россети Урал"" (+8%, до 0,6726 рубля), ""Русснефти"" (+7,2%), ПАО ""РН-Западная Сибирь"" (+6,3%), ПАО ""ММЦБ"" (+6,3%), банка ""Уралсиб"" (+6%), МКПАО ""Лента"" (+5,5%), ПАО ""Рязанская энергетическая сбытовая компания"" (+5%), ПАО ""Россети Ленэнерго"" (+4,5% и +4,9% ""префы"").Совет директоров ПАО ""Россети Урал"" рекомендовал акционерам на годовом собрании 31 мая принять решение о выплате дивидендов за 2023 год из расчета по 0,05441 рубля на каждую обыкновенную акцию. …"
2360,"ПАО НК ""РУССНЕФТЬ""",Деловая тематика,Рост курса акций,"Рынок акций РФ просел к 3430п по индексу МосБиржи во главе с бумагами ""ЛУКОЙЛа"" перед его отсечкой, вырос ""Полюс""","…Во ""втором эшелоне"" на Мосбирже снизились после отсечки дивидендов акции банка ""Санкт-Петербург"" (-7,1%, до 313,75 рубля; выплаты - 23,37 рубля на акцию), также просели расписки Qiwi (MOEX: QIWI) (-7,3%), бумаги банка ""Приморье"" (MOEX: PRMB) (-6,5%), ""Глобалтрак менеджмент"" (MOEX: GTRK) (-5,6%), ""префы"" ""Ижстали"" (MOEX: IGST) (-3,1%).Выросли акции ПАО ""ЮТэйр"" (MOEX: UTAR) (+10,4%), ""Соллерса"" (MOEX: SVAV) (+6,5%), ПАО ""Россети Урал"" (+6%, до 0,6606 рубля), МКПАО ""Лента"" (MOEX: LNTA) (+4,5%), ПАО ""Пермэнергосбыт"" (MOEX: PMSB) (+4,3%), ""Софтлайна"" (MOEX: SOFL) (+3,9%), ""Русснефти"" (MOEX: RNFT) (+3,7%).Совет директоров ПАО ""Россети Урал"" рекомендовал акционерам на годовом собрании 31 мая принять решение о выплате дивидендов за 2023 год из расчета по 0,05441 рубля на каждую обыкновенную акцию. …"
